Year,Month,Day,Temp,place
1978,7,19,17.6,station1
1978,8,15,17.6,station1
1979,2,21,0.2,station1
1979,5,23,15.5,station1
1979,6,19,18.2,station1
1979,7,16,18.8,station1
1979,8,21,18.5,station1
1979,9,18,13.8,station1
1979,10,23,8.4,station1
1979,11,21,2.9,station1
1980,3,26,0.2,station1
1980,5,28,12.3,station1
1980,6,18,17.6,station1
1980,7,16,17.8,station1
1980,9,23,14.2,station1
1980,10,21,9.5,station1
1981,3,5,0.2,station1
1981,5,21,17.2,station1
1981,6,27,17.7,station1
1981,7,21,22.2,station1
1981,8,18,2.9,station1
1981,9,22,12.9,station1
1981,10,21,9.2,station1
1981,11,11,5.5,station1
1982,2,16,0.2,station1
1982,5,13,8.8,station1
1982,6,22,15.2,station1
1982,7,20,22,station1
1982,8,24,18.8,station1
1982,9,28,14.4,station1
1982,10,26,8.9,station1
1983,3,16,0.2,station1
1983,5,25,19.8,station1
1983,7,20,20.6,station1
1983,8,9,22.3,station1
1983,10,18,1.2,station1
1984,5,16,13,mean_surf
1984,5,30,17.8,mean_surf
1984,8,5,24.2,mean_surf
1984,8,9,25.4,mean_surf
1984,9,13,16,mean_surf
1984,10,31,9.5,mean_surf
1984,11,28,4.4,mean_surf
1984,5,15,11.6,station1
1984,6,20,16,station1
1984,7,18,18.5,station1
1984,10,9,13.5,station1
1985,5,27,3.8,mean_surf
1985,4,24,7.2,mean_surf
1985,5,13,13.9,mean_surf
1985,5,29,20.5,mean_surf
1985,6,12,18.2,mean_surf
1985,6,26,23.5,mean_surf
1985,7,5,20.2,mean_surf
1985,7,18,20.1,mean_surf
1985,8,2,19.2,mean_surf
1985,8,21,23,mean_surf
1985,9,12,17.4,mean_surf
1985,10,3,14,mean_surf
1985,11,5,7.9,mean_surf
1985,2,14,0.4,station1
1985,5,14,16.4,station1
1985,6,24,23.1,station1
1985,7,16,20.8,station1
1985,8,16,23.8,station1
1985,10,22,11.1,station1
1986,3,19,5.9,mean_surf
1986,5,17,18.1,mean_surf
1986,6,1,16.1,mean_surf
1986,6,18,26.8,mean_surf
1986,7,10,20.8,mean_surf
1986,7,19,24.3,mean_surf
1986,8,1,26.8,mean_surf
1986,8,3,22.1,mean_surf
1986,8,5,24,mean_surf
1986,9,30,10.1,mean_surf
1986,10,23,9.7,mean_surf
1986,12,18,2.2,mean_surf
1986,2,18,0.6,station1
1986,5,16,17.4,station1
1986,6,16,20.3,station1
1987,4,23,7.3,mean_surf
1987,5,20,14,mean_surf
1987,6,3,14.3,mean_surf
1987,6,23,21.7,mean_surf
1987,7,9,21.8,mean_surf
1987,9,18,14.4,mean_surf
1987,10,21,9.6,mean_surf
1987,11,11,4.9,mean_surf
1987,2,24,2.5,station1
1987,5,12,10.5,station1
1987,5,26,12.3,station1
1987,6,8,18,station1
1987,7,7,20.4,station1
1987,7,20,21.6,station1
1987,8,3,19.7,station1
1987,8,18,17.9,station1
1987,8,27,21.3,station1
1988,5,17,16.1,mean_surf
1988,6,30,25,mean_surf
1988,7,15,30.1,mean_surf
1988,2,16,0.3,station1
1988,5,11,10.2,station1
1988,5,24,21.7,station1
1988,6,6,23,station1
1988,6,20,18,station1
1988,7,4,26.1,station1
1988,7,18,25.8,station1
1988,8,1,22,station1
1988,8,15,20,station1
1988,8,29,19.3,station1
1988,9,15,17.2,station1
1988,10,20,11.9,station1
1989,3,23,8.1,mean_surf
1989,4,26,12.7,mean_surf
1989,5,17,17.6,mean_surf
1989,6,14,18.8,mean_surf
1989,7,12,25.3,mean_surf
1989,8,5,20,mean_surf
1989,8,24,21.2,mean_surf
1989,9,14,18.2,mean_surf
1989,10,18,11.7,mean_surf
1989,11,14,10.3,mean_surf
1989,2,20,4.4,station1
1989,3,21,8.6,station1
1989,4,17,11.2,station1
1989,5,16,16.2,station1
1989,6,13,18.3,station1
1989,6,26,22.1,station1
1989,7,10,24.4,station1
1989,7,25,19.7,station1
1989,8,7,19.1,station1
1989,8,21,21.7,station1
1989,9,4,18.4,station1
1989,9,18,16.6,station1
1989,10,17,11.1,station1
1990,3,1,6.4,station1
1990,4,19,12.8,station1
1990,7,24,21,station1
1991,5,2,10.7,mean_surf
1991,5,28,15.2,mean_surf
1991,6,14,21.2,mean_surf
1991,7,2,23.4,mean_surf
1991,7,3,23.7,mean_surf
1991,7,18,23.8,mean_surf
1991,8,4,25.5,mean_surf
1991,5,15,13,station1
1991,6,20,20,station1
1991,7,9,23.6,station1
1991,7,26,21.2,station1
1991,8,10,23.4,station1
1991,8,28,20.2,station1
1992,4,29,8.6,mean_surf
1992,5,15,16.5,mean_surf
1992,6,1,21.5,mean_surf
1992,6,22,21.7,mean_surf
1992,7,22,26,mean_surf
1992,8,1,23,mean_surf
1992,8,18,22.3,mean_surf
1992,9,10,17.8,mean_surf
1992,7,22,22,station1
1992,8,18,21,station1
1993,5,13,21.3,mean_surf
1993,6,1,19.8,mean_surf
1993,6,16,18,mean_surf
1993,6,28,20.9,mean_surf
1993,7,19,21.7,mean_surf
1993,8,2,20.9,mean_surf
1993,8,17,21.8,mean_surf
1993,8,31,18.2,mean_surf
1993,5,13,20.6,station1
1993,6,18,17.2,station1
1993,7,15,20.5,station1
1993,8,18,20.2,station1
1993,9,23,13.4,station1
1994,5,17,14.2,mean_surf
1994,6,2,14,mean_surf
1994,6,17,14.6,mean_surf
1994,7,8,20.6,mean_surf
1994,7,20,21.1,mean_surf
1994,8,5,27.3,mean_surf
1994,8,22,19,mean_surf
1994,9,8,17.2,mean_surf
1994,10,2,14,mean_surf
1994,6,10,15.2,station1
1994,7,14,26.5,station1
1994,9,21,16.9,station1
1995,5,30,24.6,mean_surf
1995,6,26,21.9,mean_surf
1995,7,15,24.5,mean_surf
1995,8,22,24.4,mean_surf
1995,10,3,13.5,mean_surf
1995,7,24,21.2,station1
1995,8,13,20,station1
1995,9,8,19.3,station1
1996,5,12,17.5,mean_surf
1996,6,27,19.31,mean_surf
1996,7,25,22.4,mean_surf
1996,8,23,23.97,mean_surf
1996,9,19,14.4,mean_surf
1996,10,19,12.2,mean_surf
1997,4,30,10.2,mean_surf
1997,6,5,18.3,mean_surf
1997,7,6,23.8,mean_surf
1997,8,12,24.6,mean_surf
1997,7,28,18.1,station1
